wvl;fwhm
1906.421400;6.6521848
1911.538500;6.6521848
1916.655500;6.6521848
1921.772600;6.6521848
1926.889600;6.6521848
1932.006700;6.6521848
1937.123700;6.6520261
1942.240800;6.6523435
1947.357900;6.6521848
1952.474900;6.6520261
1957.592000;6.6523435
1962.709000;6.6520261
1967.826100;6.6521848
1972.943100;6.6521848
1978.060200;6.6521848
1983.177300;6.6521848
1988.294300;6.6521848
1993.411400;6.6521848
1998.528400;6.6521848
2003.645500;6.6521848
2008.762500;6.6520261
2013.879600;6.6523435
2018.996700;6.6521848
2024.113700;6.6520261
2029.230800;6.6523435
2034.347800;6.6520261
2039.464900;6.6521848
2044.581900;6.6521848
2049.699000;6.6521848
2054.816100;6.6523435
2059.933100;6.6520261
2065.050200;6.6523435
2070.167200;6.6520261
2075.284300;6.6520261
2080.401300;6.6523435
2085.518400;6.6520261
2090.635500;6.6523435
2095.752500;6.6520261
2100.869600;6.6523435
2105.986600;6.6520261
2111.103700;6.6523435
2116.220700;6.6520261
2121.337800;6.6523435
2126.454800;6.6520261
2131.571900;6.6523435
2136.689000;6.6520261
2141.806000;6.6520261
2146.923100;6.6523435
2152.040100;6.6520261
2157.157200;6.6523435
2162.274200;6.6520261
2167.391300;6.6523435
2172.508400;6.6520261
2177.625400;6.6523435
2182.742500;6.6520261
2187.859500;6.6523435
2192.976600;6.6520261
2198.093600;6.6520261
2203.210700;6.6523435
2208.327800;6.6523435
2213.444800;6.6520261
2218.561900;6.6523435
2223.678900;6.6520261
2228.796000;6.6520261
2233.913000;6.6523435
2239.030100;6.6520261
2244.147200;6.6523435
2249.264200;6.6520261
2254.381300;6.6523435
2259.498300;6.6520261
2264.615400;6.6523435
2269.732400;6.6520261
2274.849500;6.6523435
2279.966600;6.6520261
2285.083600;6.6520261
2290.200700;6.6523435
2295.317700;6.6520261
2300.434800;6.6523435
2305.551800;6.6520261
2310.668900;6.6523435
2315.786000;6.6520261
2320.903000;6.6523435
2326.020100;6.6520261
2331.137100;6.6523435
2336.254200;6.6520261
2341.371200;6.6520261
2346.488300;6.6523435
2351.605400;6.6523435
2356.722400;6.6520261
2361.839500;6.6523435
2366.956500;6.6520261
2372.073600;6.6520261
2377.190600;6.6523435
2382.307700;6.6520261
2387.424700;6.6523435
2392.541800;6.6520261
2397.658900;6.6523435
2402.775900;6.6520261
2407.893000;6.6523435
2413.010000;6.6520261
2418.127100;6.6523435
2423.244100;6.6520261
